iter	RMSE
448	17.21341674
449	17.19932702
450	17.19920232
451	17.17708091
452	17.17637657
453	17.17627544
454	17.17312181
455	17.17079799
456	17.17070739
457	17.17067749
458	17.16858911
459	17.16066873
460	17.14494209
461	17.13745587
462	17.1231484
463	17.12300551
464	17.12294111
465	17.12283438
466	17.1141065
467	17.11368905
468	17.11173495
469	17.11003044
470	17.10970029
471	17.10846348
472	17.10276561
473	17.10272234
474	17.10266317
475	17.09673632
476	17.09143576
477	17.06301314
478	17.05643406
479	17.01912501
480	17.00969661
481	17.00951369
482	17.00927483
483	17.0053717
484	16.99258236
485	16.99104813
486	16.98609605
487	16.98169397
488	16.96981691
489	16.9692713
490	16.96921433
491	16.94966677
492	16.87370101
493	16.84654642
494	16.84640297
495	16.8419016
496	16.8372878
497	16.8368294
498	16.8333762
499	16.82537702
